Membership No  Date Joined  Active  
    31903      2016-1-9     no    
    99873      2020-6-10    no    
    31292      2019-8-20    yes   
    82588      2016-11-12   no    
    45746      2020-1-13    yes   
    77294      2017-3-6     no    
    35017      2020-11-20   yes   
    63343      2020-1-2     yes   
    52720      2019-2-15    no    
    67398      2017-4-10    yes   
    53150      2018-11-11   no    
    42177      2016-9-19    no    
    64229      2020-12-8    yes   
    74666      2019-4-7     no    
    19877      2019-1-1     no    
    90762      2017-2-13    no    
    84856      2015-10-20   no    
    17646      2016-3-18    yes   
    50227      2019-5-5     no    
    49589      2020-1-8     yes   
